sales_agent,manager,regional_office,deals,win_rate,won_rev
Anna Snelling,Dustin Brinkmann,Central,336,0.6190476190476191,275056.0
Boris Faz,Rocco Neubert,East,153,0.6601307189542484,261631.0
Cassey Cress,Rocco Neubert,East,261,0.6245210727969349,450489.0
Cecily Lampkin,Dustin Brinkmann,Central,160,0.66875,229800.0
Corliss Cosme,Cara Losch,East,229,0.6550218340611353,421036.0
Daniell Hammack,Rocco Neubert,East,187,0.6096256684491979,364229.0
Darcel Schlecht,Melvin Marxen,Central,553,0.6311030741410488,1153214.0
Donn Cantrell,Rocco Neubert,East,275,0.5745454545454546,445860.0
Elease Gluck,Celia Rouche,West,126,0.6349206349206349,289195.0
Garret Kinder,Cara Losch,East,123,0.6097560975609756,197773.0
Gladys Colclough,Melvin Marxen,Central,232,0.5818965517241379,345674.0
Hayden Neloms,Celia Rouche,West,152,0.7039473684210527,272111.0
James Ascencio,Summer Sewald,West,206,0.6553398058252428,413533.0
Jonathan Berthelot,Melvin Marxen,Central,264,0.6477272727272727,284886.0
Kami Bicknell,Summer Sewald,West,272,0.6397058823529411,316456.0
Kary Hendrixson,Summer Sewald,West,335,0.6238805970149254,454298.0
Lajuana Vencill,Dustin Brinkmann,Central,231,0.5497835497835498,194632.0
Markita Hansen,Celia Rouche,West,227,0.5726872246696035,328792.0
Marty Freudenburg,Melvin Marxen,Central,194,0.6288659793814433,291195.0
Maureen Marcano,Summer Sewald,West,213,0.6995305164319249,350395.0
Moses Frase,Dustin Brinkmann,Central,195,0.6615384615384615,207182.0
Niesha Huffines,Melvin Marxen,Central,175,0.6,176961.0
Reed Clapper,Rocco Neubert,East,237,0.6540084388185654,438336.0
Rosalina Dieter,Celia Rouche,West,110,0.6545454545454545,235403.0
Rosie Papadopoulos,Cara Losch,East,121,0.6446280991735537,230169.0
Versie Hillebrand,Dustin Brinkmann,Central,264,0.6666666666666666,187693.0
Vicki Laflamme,Celia Rouche,West,347,0.6368876080691642,478396.0
Violet Mclelland,Cara Losch,East,193,0.6321243523316062,123431.0
Wilburn Farren,Cara Losch,East,79,0.6962025316455697,157640.0
Zane Levy,Summer Sewald,West,261,0.6168582375478927,430068.0
