opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,is_won,is_closed,cycle_days,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,True,True,132.0,Dustin Brinkmann,Central,retail,2001.0,718.62,2448.0,United States,,GTX,1096
Z063OYW0,Darcel Schlecht,GTX Pro,Isdom,Won,2016-10-25,2017-03-11,4514.0,True,True,137.0,Melvin Marxen,Central,medical,2002.0,3178.24,4540.0,United States,,GTX,4821
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,True,True,133.0,Melvin Marxen,Central,retail,2001.0,718.62,2448.0,United States,,MG,55
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,True,True,135.0,Dustin Brinkmann,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,550
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,True,True,128.0,Summer Sewald,West,services,1982.0,792.46,1299.0,United States,,GTX,550
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,True,True,123.0,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,MG,55
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,True,True,123.0,Celia Rouche,West,retail,1989.0,1388.67,3583.0,United States,,MG,55
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,True,True,126.0,Celia Rouche,West,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,True,True,122.0,Melvin Marxen,Central,medical,1984.0,441.08,1210.0,United States,,GTX,1096
HAXMC4IX,James Ascencio,MG Advanced,,Engaging,2016-11-03,,,False,False,,Summer Sewald,West,,,,,,,MG,3393
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,True,True,126.0,Dustin Brinkmann,Central,medical,2012.0,587.34,1356.0,Philipines,,MG,55
